conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,Online-Datenanalyse durchführen,released,skill/competence,cross-sector,,"Analysieren von Online-Erfahrungen und Online-Daten, um das Verhalten der Nutzer, die Auslöser von Online-Beachtung und andere Faktoren zu verstehen, die die Entwicklung und Verbreitung von Websites optimieren könnten.",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"qualitative Informationen verarbeiten | Datenanalyse durchführen | Verwaltung, Sammlung und Speicherung digitaler Daten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,IT-Sicherheits-Compliance durchsetzen,released,skill/competence,sector-specific,,"Anleitung zur Anwendung und Erfüllung einschlägiger Industrienormen, bewährter Verfahren und rechtlicher Anforderungen an die Informationssicherheit.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"Verwaltung, Sammlung und Speicherung digitaler Daten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,Keywords in digitalen Inhalten,released,knowledge,sector-specific,,Digitale Werkzeuge für die Durchführung einer Suche nach Schlüsselwörtern. Die Informationsabrufsysteme erkennen den Inhalt eines Dokuments mithilfe von Schlüsselwörtern und Metadaten.,http://data.europa.eu/esco/isced-f/0611,Computernutzung
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,Domainnamendienste,released,knowledge,sector-specific,,"Namensdatenbank, die Internet-Domainnamen zu Internetprotokoll (IP)-Adressen zuordnet. Das Domain-Name-System ermöglicht es Internetnutzerinnen und -nutzern, Namen wie Website-Titel zu verwenden, anstatt sich an numerische IP-Adressen zu erinnern, die von Computern verwendet werden, um eine bestimmte Website zu finden.
	",http://data.europa.eu/esco/isced-f/0612,Design und Verwaltung von Datenbanken und Netzwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,Medizinprodukte modellieren,released,skill/competence,sector-specific,,"Modellieren und Simulieren medizinischer Geräte mithilfe technischer Konstruktionssoftware.
	",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,Nutzung computergestützter Tools zum Konstruieren und Zeichnen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,Experience Maps verwenden,released,skill/competence,sector-specific,,"Untersuchen aller Interaktionen und Berührungspunkte der betreffenden Personen mit einem Produkt, einer Marke oder einer Dienstleistung. Festlegen von Schlüsselgrößen wie Dauer und Häufigkeit jedes Berührungspunktes.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"Verwaltung, Sammlung und Speicherung digitaler Daten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,Untertitelungs-Software,released,knowledge,occupation-specific,,"Verschiedene Software zum Erstellen von Bildüberschriften und Untertiteln in einer Datei, die mit dem aktuellen Filmmaterial zusammengeführt wird, wie Telestream und MovieCaptioners.",http://data.europa.eu/esco/isced-f/0613,Entwicklung und Analyse von Software und Anwendungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,Signatursysteme für die Blockchain-Technologie,released,knowledge,sector-specific,,"Zu den wichtigsten digitalen Signatursystemen gehören das RSA-Verfahren, das El-Gamal-Verfahren, Hash-Funktionen, Geburtstagsangriffe und der Digital Signature Standard (DSS).
	",http://data.europa.eu/esco/isced-f/0612,Design und Verwaltung von Datenbanken und Netzwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,Daten normalisieren,released,skill/competence,sector-specific,Datennormalisierung durchführen | Normalisierung von Daten durchführen | Daten vorbereiten | Daten reduzieren | Daten vorverarbeiten,"Reduzieren von Daten auf ihre genaue Stammform (Normalform), um Ergebnisse wie Minimierung der Abhängigkeit, Beseitigung von Redundanzen, Erhöhung der Konsistenz zu erzielen.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec,"Verwaltung, Sammlung und Speicherung digitaler Daten | Datenprozesse etablieren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,Prototyp für User-Experience-Lösung erstellen,released,skill/competence,sector-specific,Lösungsprototyp zum Testen der Benutzererfahrung erstellen | Prototypen für User-Experience-Lösung erstellen | Prototyp für UX-Lösung erstellen | Prototyp zum Testen der Benutzungserfahrung erstellen | Prototyp für User-Experience-Lösung entwickeln | Prototypen für User-Experience-Lösungen erstellen | Prototyp zum Testen der Benutzererfahrung erstellen,"Entwerfen und Erstellen von Modellen, Prototypen und Abläufen, um Lösungen zur Benutzererfahrung (User Experience, UX) zu testen oder Rückmeldungen von Nutzern, Kunden, Partnern und anderen Interessenträgern einzuholen.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,Informationsmanagement
