conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef6422f-0186-4513-8dd8-a277aa6f556d,skill/competence,cross-sector,Entsorgungsfahrzeug führen,Abfallsammelfahrzeug führen,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Sicheres Führen eines für die Abfallsammlung ausgerüsteten Schwerlastkraftwagens im Einklang mit der Straßenverkehrsordnung und den Abfallvorschriften.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef88164-155d-4afd-a55c-c10deb5c597e,skill/competence,sector-specific,elastische Bodenfliesen verlegen,,,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Verlegen elastischer Bodenfliesen auf einer vorbereiteten Oberfläche. Gerade Ausrichtung der Fliesen. Entfernen etwaigen Schutzmaterials und Verkleben der Fliesen auf der Oberfläche.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef8bb26-de6e-4784-b6a8-1cdfeaa667c9,skill/competence,occupation-specific,Richtlinien für das Glücksspiel aufstellen,,,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Aufstellen von Regeln und Richtlinien zu Themen wie Art des angebotenen Glücksspiels und Gewinnquoten, Kreditgewährung oder Servieren von Speisen und Getränken."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef96bad-e623-42cd-b961-d1adf39db8b9,knowledge,sector-specific,Medien- und Informationskompetenz,,,released,2024-02-23T15:33:51.007Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Die Fähigkeit, sich Zugang zu Medien zu verschaffen, verschiedene Aspekte der Medien und Medieninhalte zu verstehen und kritisch zu bewerten und Kommunikation in unterschiedlichen Kontexten zu gestalten. Sie umfasst eine Reihe kognitiver, emotionaler und sozialer Kompetenzen, die den Umgang mit Texten, Werkzeugen und Technologien, die Fähigkeit zum kritischen Denken und zur Analyse, die Praxis der Nachrichtengestaltung und Kreativität sowie die Fähigkeit zur Reflexion und zum ethischen Denken einschließen.
   "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fefd081d-a237-4606-9e37-161ab6babdcb,skill/competence,occupation-specific,klinische Ergebnisse der Maßnahmen zur Zahnhygiene evaluieren,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Bewertung des Ergebnisses einer Maßnahme zur Zahnhygiene anhand von Indizes, Instrumenten, Untersuchungstechniken und Rückmeldungen des Patienten und anderer, um die Gesundheit der Patienten entsprechend den Anweisungen und der Aufsicht des Zahnarztes zu verbessern."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fefff561-afff-4063-8904-0c507bf15d3d,knowledge,occupation-specific,Schleifformen für Schmucksteine,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Schmucksteine können zu verschiedenen Formen geschliffen werden, z. B. Facettensteine, Cabochons, Kugeln oder Tropfen. Sie können auch zusammen mit anderen Edelsteinen oder anderen Materialien kombiniert werden, beispielsweise bei Inlays oder Mosaiken. Außerdem können sie zur Herstellung von Gemmen oder Kameen verwendet werden."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff00b5d0-5a61-4eef-a9be-5086304e6f99,skill/competence,occupation-specific,Zähne von Schweinen kürzen,,,released,2020-06-19T14:08:11.403Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Kürzen oder Abschleifen der Zähne von Ferkeln. Ergreifen geeigneter Maßnahmen, um das Gehör vor dem lauten Quieken der Ferkel zu schützen.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff031994-dd71-4bb6-a351-1b9c83efa0d1,skill/competence,sector-specific,Augentherapien bereitstellen,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Anwenden geeigneter orthoptischer, pleoptischer und optischer Methoden mithilfe verschiedener Ausrüstung, z. B. Linsen (Übungsbrillen), Prismen, Filter, Klappen, elektronische Fixationsobjekte oder Balancebretter, und Vorschlagen oder Umsetzen von Korrekturmöglichkeiten oder Möglichkeiten zur Bewältigung des Alltags, Überwachung von Augenübungen in der Praxis und Unterweisung des Patienten für die Durchführung von Übungen zu Hause."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff08e1ac-8a6a-49d0-984a-e326a1c0afb8,skill/competence,occupation-specific,Teebeutelmaschinen Materialien beigeben,,,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Beigabe von Materialien, die für die Herstellung von Teebeuteln erforderlich sind, z. B. Teefüllung, Beutel, Fäden, Etiketten und chemikalienfreie Klebstoffe."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff1932ed-7889-45ae-8a6d-1734e8e3117f,skill/competence,sector-specific,Beratung in Bezug auf Bankkonten leisten,,,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Informieren der Kunden über die verschiedenen Arten von Bankkonten, die von dem Finanzinstitut oder der Geschäftsbank angeboten werden. Empfehlung oder Beratung hinsichtlich der Art des Bankkontos, das für den Kunden am vorteilhaftesten wäre."
